id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1334959126338826241	1334959126338826241	2020-12-04 15:33:52 -05	2020-12-04	15:33:52	-0500	17548080	diarioelheraldo	Diario El Heraldo		El gremio empresarial considera que las pérdidas que dejaron Eta y Iota, sumado a la paralización del comercio durante la cuarentena, equivalen a casi el 40% del PIB de Honduras  #Honduras #IOTA #Eta   https://t.co/WOQHUjc9yD	es	[]	['https://www.elheraldo.hn/pais/1427134-466/danos-economicos-pandemia-huracanes-asciende-10000-millones']	[]	0	0	1	['honduras', 'iota', 'eta']	[]	https://twitter.com/diarioelheraldo/status/1334959126338826241	False		0		Honduras,Tegucigalpa						[]				
1334812539440553984	1334812539440553984	2020-12-04 05:51:23 -05	2020-12-04	05:51:23	-0500	32242597	ecassis	Eleazar		Pasó en todo el mundo, la medida de la cuarentena extrema fue una estupidez desde su concepción, nada se resolvió y el mundo sigue	es	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ecassis/status/1334812539440553984	False	https://twitter.com/servimatoficial/status/1334751379869601794	0		Honduras,Tegucigalpa						[]				
1334720047273701378	1334720047273701378	2020-12-03 23:43:51 -05	2020-12-03	23:43:51	-0500	275844960	crankase	André		8 potras post cuarentena, post dos huracanes, post intoxicacion... ⚽⚽ ⚽⚽⚽ ⚽⚽ ⚽⚽ ⚽⚽ ⚽⚽⚽⚽ ❌ ⚽⚽⚽  Deiby Flores who?	ca	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/crankase/status/1334720047273701378	False		0		Honduras,Tegucigalpa						[]				
1334659002123378689	1334659002123378689	2020-12-03 19:41:17 -05	2020-12-03	19:41:17	-0500	1283121363901911041	cesarr33754828	César Rossell.		En esta cuarentena supe diferenciar conocidos con amigos.	es	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/CesarR33754828/status/1334659002123378689	False		0		Honduras,Tegucigalpa						[]				
1334612276679237638	1334612276679237638	2020-12-03 16:35:37 -05	2020-12-03	16:35:37	-0500	58046607	procesodigital	Proceso Digital		#aldía Italia impondrá cuarentena a turistas y nacionales que vuelvan tras Navidad  https://t.co/pK0mDhgsqH	es	[]	['https://bit.ly/33DIid9']	[]	0	0	0	['aldía']	[]	https://twitter.com/ProcesoDigital/status/1334612276679237638	False		0		Honduras,Tegucigalpa						[]				
1334588974036344838	1334587353839661058	2020-12-03 15:03:01 -05	2020-12-03	15:03:01	-0500	1298631115901677568	ivannn_b_10	Iván⚡		@pibe_504 Yo cuando termine la cuarentena:	es	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/IvanNn_B_10/status/1334588974036344838	False		0		Honduras,Tegucigalpa						[{'screen_name': 'pibe_504', 'name': 'El Pibe', 'id': '2246441750'}]				
1334585963922792452	1334155011593560065	2020-12-03 14:51:03 -05	2020-12-03	14:51:03	-0500	1322914836704038913	vero_soa	LaSoaVero		@Fernand29350577 Con ma cuarentena me pasó lo mismo! Pero al revés! 😩  Na, fuera de bromas. Felicitaciones!!! Logré un cambio así tambien hace unos años, con sólo cambiar los hábitos!	es	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/vero_soa/status/1334585963922792452	False		0		Honduras,Tegucigalpa						[{'screen_name': 'Fernand29350577', 'name': 'Feña Garin', 'id': '1099282635766095872'}]				
1334582401138298884	1334582401138298884	2020-12-03 14:36:54 -05	2020-12-03	14:36:54	-0500	455658974	zavala_emmanuel	LUIS EMMANUEL ZAVALA		Anoche me Pesé después de un año de no hacerlo, he roto mi récord, he llegado a 208 lbs, no sé si reír o llorar jajaja, gracias cuarentena	es	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/zavala_emmanuel/status/1334582401138298884	False		0		Honduras,Tegucigalpa						[]				
1334540434866106369	1334540434866106369	2020-12-03 11:50:08 -05	2020-12-03	11:50:08	-0500	972804638	televicentrohn	Televicentro HN		La investigación menciona que muchos de los sueños de las personas durante la cuarentena pueden estar relacionados de emociones negativas, como ira y tristeza.  https://t.co/H5tJvuQLmf	es	[]	['https://www.televicentro.com/el-confinamiento-ha-provocado-suenos-pandemicos-confirma-estudio']	[]	0	0	1	[]	[]	https://twitter.com/televicentrohn/status/1334540434866106369	False		0		Honduras,Tegucigalpa						[]				
1334523227247403016	1334514659060277254	2020-12-03 10:41:46 -05	2020-12-03	10:41:46	-0500	55126686	johanna23__	Mrs Shelby		@emy_0116 Yo las tomo en Mayo por eso mismo, viajar y escapar del frío de invierno pero como este año se canceló mi viaje y no pude tomarme, ademas que en invierno es probable que vuelva la cuarentena, me gustaría unos 5 días pero no podré 😅	es	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/johanna23__/status/1334523227247403016	False		0		Honduras,Tegucigalpa						[{'screen_name': 'emy_0116', 'name': 'Emi', 'id': '157728798'}]				
