date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-19 23:57:02,JuanDurante,,1,0,0,"#CuarentenaTotal #COVID19argentina #COVID19 #SomosResponsables #EstadoDeSitio #YoMeQuedoEnCasa Abro hilo de x q hay q hacer cuarentena",,,#CuarentenaTotal #COVID19argentina #COVID19 #SomosResponsables #EstadoDeSitio #YoMeQuedoEnCasa,1240789408737083393,https://twitter.com/JuanDurante/status/1240789408737083393
2020-03-19 23:39:47,AnahiQSP,Continental590,0,0,0,"Ay Nacho. Qué necesidad de matarme antes que el COVID-19 Sea lo que sea , gracias. Vendrá quien Gallardo lo desee . Confiar y creer. ",,,,1240785069465382914,https://twitter.com/AnahiQSP/status/1240785069465382914
2020-03-19 23:25:49,Tacuruses1,,0,0,0,"A ver hijos de mil putas 19/03/20 _ 31 casos covid 19_ 20 ,VEINTE ,LA CONCHA DE SU MADRE , VIAJEROS PROVENIENTES DEL EXTERIOR . #CuarentenaObligatoria",,,#CuarentenaObligatoria,1240781552742694918,https://twitter.com/Tacuruses1/status/1240781552742694918
2020-03-19 23:25:46,SofiMerklin,,1,0,0,"Quien iba a decir que la cuarentena por el COVID-19 me iba a pegar por hacer budines.",,,,1240781540633821184,https://twitter.com/SofiMerklin/status/1240781540633821184
2020-03-19 23:25:41,leofarias1977,,1,1,5,"*CUIDARNOS ENTRE TODOS Y TODAS* Desde La Cámpora, en el marco de la pandemia del coronavirus COVID-19, decidimos suspender todas las actividades presenciales no esenciales, conforme a lo dispuesto por el Gobierno Nacional en materia de distanciamiento social. ",,,,1240781519213527042,https://twitter.com/leofarias1977/status/1240781519213527042
2020-03-19 23:24:38,LuxAeternaak47,,1,0,1,"@FernandoCasullo acabo de enterarme que en Groenlandia no hay COVID-19. Fernando Casullo usted es diabólico...",,@FernandoCasullo,,1240781256599756807,https://twitter.com/LuxAeternaak47/status/1240781256599756807
2020-03-19 23:24:04,teuss,,0,1,2,"5 pasos a seguir para prevenir la expansión del coronavirus #COVID19 ",,,#COVID19,1240781114496684032,https://twitter.com/teuss/status/1240781114496684032
2020-03-19 23:22:33,Carinalopezm,,0,0,2,"_19 de marzo de 2020_ *REPORTE 15 - 128 casos totales Hoy fueron confirmados 31 nuevos casos de COVID-19: - 15 en Provincia de Buenos Aires - 8 en la Ciudad Autónoma de Buenos Aires - 3 en Córdoba - 2 en Chaco - 1 en Tucumán - 1 en Santa Fe - 1 Rio Negro",,,,1240780730009038850,https://twitter.com/Carinalopezm/status/1240780730009038850
2020-03-19 23:10:28,Orion_Zone,,0,1,1,"Mi respeto y admiración para todos aquellos/aquellas que van a estar enfrentando al COVID-19 en esta ocación, en el frente de batalla. ",,,,1240777688543084545,https://twitter.com/Orion_Zone/status/1240777688543084545
2020-03-19 22:50:58,MarianoAimone,gonziver,1,0,3,"Según la OMS, el aislamiento, la cuarentena y el distanciamiento social son las estrategias de salud pública que ayudan a prevenir la propagación del virus altamente contagioso como es el Covid-19.",,,,1240772781199015941,https://twitter.com/MarianoAimone/status/1240772781199015941
2020-03-19 22:34:31,SebasJavierSuar,,1,0,0,"Si no haces los científicamente posible para obtener los análisis de pacientes con síntomas de #COVID19 rápido y en la mayor cantidad de puntos de tu extenso país... ¿Es omisión @ginesggarcia @alferdez ? https://twitter.com/MartinLitwak/status/1240432025934475270",,@ginesggarcia @alferdez,#COVID19,1240768641626451974,https://twitter.com/SebasJavierSuar/status/1240768641626451974
2020-03-19 22:32:37,ConstruccionAR,,0,0,0,"El festival de distancia social Celebración en línea del trabajo que ha sido cancelado / retrasado / interrumpido y vale la pena ser visto! Más info y coordenadas: https://guia-construccion.com/el-festival-de-distancia-social/ #guiadelaconstruccion #eventos #festival #coronavirus #covid19 #pandemia",,,#guiadelaconstruccion #eventos #festival #coronavirus #covid19 #pandemia,1240768165463887874,https://twitter.com/ConstruccionAR/status/1240768165463887874
2020-03-19 22:31:55,LVidrieria,,0,0,0,"Te queremos avisar que debido al covid-19 lamentablemente hemos decidido cerrar nuestro punto de venta presencial. Seguiremos conectados a través de todas las plataformas Instagram @LVidrieria Facebook… https://www.instagram.com/p/B97prxOlY7v/?igshid=k8rak1omzbr",,@LVidrieria,,1240767989630238730,https://twitter.com/LVidrieria/status/1240767989630238730
2020-03-19 22:30:50,DiegoAnderica,,1,3,6,"Es obvio y razonable que pase. Son miles los que no tienen la posibilidad de hacer ""Home Work"" y no les queda otra que utilizar la fuerza de su cuerpo y de su mente para trabajar. #CoronaVirus #CoronaVirusEnArgentina #TrenSarmiento #COVID19 ",,,#CoronaVirus #CoronaVirusEnArgentina #TrenSarmiento #COVID19,1240767714995703808,https://twitter.com/DiegoAnderica/status/1240767714995703808
2020-03-19 22:20:01,525Hotel,,0,1,3,"Atentos a las medidas tomadas por el Gobierno Nacional y Gobierno de la Ciudad de Buenos Aires, #525HOTEL se adhiere al plan de prevención contra el COVID-19 Coronavirus. Por tal motivo suspendemos nuestras actividades y reservas. #QuedateEnCasa ! http://www.525hotel.com",,,#525HOTEL #QuedateEnCasa,1240764994473598984,https://twitter.com/525Hotel/status/1240764994473598984
2020-03-19 22:15:13,clauguebel,,0,0,0,"""COVID-19: ¿Cuándo se debe utilizar cubrebocas? "" ",,,,1240763787940179970,https://twitter.com/clauguebel/status/1240763787940179970
2020-03-19 22:14:15,LaSolanoLima,,0,1,2,"Olvidados por Claudio Moroni, LABURANTES!! No cobran planes, no cortan calles, no piden bonos. Con tu firma ayudas a Monotributistas Organizadxs en emergencia frente al COVID-19 @MinTrabajoAR - ¡Firmá la petición! http://chng.it/tNBDZdXz vía @ChangeorgAR #CoronavirusEnArgentina",,@MinTrabajoAR @ChangeorgAR,#CoronavirusEnArgentina,1240763541059182596,https://twitter.com/LaSolanoLima/status/1240763541059182596
2020-03-19 22:10:45,pikillo12,,0,0,0,"""COVID-19: ¿Cuándo se debe utilizar cubrebocas? "" ",,,,1240762662113468416,https://twitter.com/pikillo12/status/1240762662113468416
2020-03-19 22:10:35,NachoAlvarezC4,,0,13,13,"Tenemos que cuidarnos entre todos, para enfrentar el #Coronavirus tenemos que quedarnos en casa. Si tenes síntomas compatibles con el #coronavirus #Covid-19 comunicate al 0800-222-1002. Más información en http://bit.ly/Coronavirus-Covid-19 #QuedateEnCasa",,,#Coronavirus #coronavirus #Covid #QuedateEnCasa,1240762620057137152,https://twitter.com/NachoAlvarezC4/status/1240762620057137152
2020-03-19 22:04:32,edith_sga,LuisGasulla,0,0,0,"Que podes esperar...no cambia nada..sigamos ampliándo y q no aumente la Curva de Covid.19 Estaba todo desordenado hoy. Me da impresión",,,,1240761095721299968,https://twitter.com/edith_sga/status/1240761095721299968
2020-03-19 22:03:07,informaticaHIBA,,1,13,10,"¿Desinfectaste tu celular? Cuidate del #Coronavirus tomando todas las precauciones. Todos #SomosResponsables de frenar esta pandemia. ¿Cuáles son los hábitos que cambiaste para prevenir el #Covid_19? ",,,#Coronavirus #SomosResponsables #Covid_19,1240760742665752579,https://twitter.com/informaticaHIBA/status/1240760742665752579
2020-03-19 22:01:39,NorbertoFrazze1,,0,1,1,"El Ministerio de Salud de la Nación informa sobre el nuevo Coronavirus COVID-19: situación epidemiológica, diagnóstico y recomendaciones para ciudadanos repatriados. ",,,,1240760373831139328,https://twitter.com/NorbertoFrazze1/status/1240760373831139328
2020-03-19 21:58:25,daniczuk,,0,1,2,"El #COVID19 es como un bálsamo restaurador social. No hay feministas, no hay pro-aborto, no hay anti-uber. Yo lo voto en las próximas elecciones, eh...",,,#COVID19,1240759556675960835,https://twitter.com/daniczuk/status/1240759556675960835
2020-03-19 21:56:07,VoleyOtrosShop,,0,0,2," Vamos que podemos Es como el #voley ...cada un@tiene que hacer su parte para que funcione #quedemonosencasa #coronavirus #covid_19 #argentina 𝙎𝙚𝙜𝙪𝙞𝙣𝙤𝙨: @voleyotrosshop 𝙑𝙞𝙨𝙞𝙩𝙖𝙣𝙤𝙨:… https://www.instagram.com/p/B97luCBlTdr/?igshid=1auv0pwmwrv46",,@VoleyOtrosShop,#voley #quedemonosencasa #coronavirus #covid_19 #argentina,1240758980110094343,https://twitter.com/VoleyOtrosShop/status/1240758980110094343
2020-03-19 21:50:46,SilvanaBuz,,0,0,0,"Haciendo cola en Frávega??? En caballito @COVID19_TIME #COVID19argentina #CuarentenaObligatoria #DENUNCIA",,@Covid19_Time,#COVID19argentina #CuarentenaObligatoria #DENUNCIA,1240757631196827652,https://twitter.com/SilvanaBuz/status/1240757631196827652
2020-03-19 21:48:16,MariaLorenteEst,AFPespanol,0,3,3,"En breve, @alferdez anuncia cuarentena obligatoria por #COVID19 #CoronavirusEnArgentina De momento, Buenos Aires parece un día normal. Muchos se quejan que están obligados a trabajar. #CuarentenaTotal #QuedateEnCasa y #QuedateencasaPelotudo",,@alferdez,#COVID19 #CoronavirusEnArgentina #CuarentenaTotal #QuedateEnCasa #QuedateencasaPelotudo,1240757005066940423,https://twitter.com/MariaLorenteEst/status/1240757005066940423
2020-03-19 21:34:15,maarulina_,,1,1,3,"""COVID-19: ¿Cuándo se debe utilizar cubrebocas? "" ",,,,1240753477720182786,https://twitter.com/maarulina_/status/1240753477720182786
2020-03-19 21:26:38,PortuariosSupa,,1,0,0,"(...) cuando cualquier buque pretenda atracar en un puerto sin haber cumplido debidamente con la cuarentena estipulada para el #COVID19, y sin someterse al correspondiente control antes de la operatoria portuaria, resulta procedente que NO SE LE BRINDE EL SERVICIO DE ESTIBA. ",,,#COVID19,1240751560583458820,https://twitter.com/PortuariosSupa/status/1240751560583458820
2020-03-19 21:25:57,incucaioficial,,2,7,8,"Dadas las situaciones actuales de público conocimiento con respecto al nuevo Coronavirus Covid-19. Les comunicamos a todos los pacientes trasplantados y en lista de espera que no vamos a atender más personalmente en el Incucai. ",,,,1240751389183279104,https://twitter.com/incucaioficial/status/1240751389183279104
